total_hw;total_ap;hw_ap;total_al;hw_al;total_cl;hw_cl;total_cp;hw_cp;total_suami;hw_suami;total_istri;hw_istri;total_ayah;hw_ayah;total_ibu;hw_ibu;total_kakek;hw_kakek;total_nenek;hw_nenek;total_si;hw_si;total_sdlk;hw_sdlk;total_sdpk;hw_sdpk
250000000;1;218750000;0;0;0;0;0;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250000000;1;72916667;1;145833333;1;0;1;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;1;0;3;0
250000000;1;43750000;2;175000000;1;0;2;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250000000;1;31250000;3;187500000;2;0;0;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;0;0;3;0
250000000;2;218750000;0;0;0;0;0;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250000000;2;109375000;1;109375000;3;0;3;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;2;0;3;0
250000000;2;72916667;2;145833333;1;0;0;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;3;0;2;0
250000000;2;54687500;3;164062500;1;0;0;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;1;0;0;0
250000000;3;218750000;0;0;0;0;0;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250000000;3;131250000;1;87500000;2;0;2;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;0;0;2;0
250000000;3;93750000;2;125000000;2;0;1;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;1;0;3;0
250000000;3;72916667;3;145833333;2;0;3;0;0;0;1;31250000;0;0;0;0;0;0;0;0;0;0;3;0;2;0
180000000;0;0;0;0;0;0;0;0;1;90000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180000000;0;0;1;135000000;0;0;2;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
180000000;0;0;2;135000000;2;0;0;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0
180000000;0;0;3;135000000;3;0;2;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
180000000;1;135000000;0;0;0;0;0;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180000000;1;45000000;1;90000000;0;0;3;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0
180000000;1;27000000;2;108000000;2;0;3;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
180000000;1;19285714;3;115714286;3;0;1;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
180000000;2;135000000;0;0;0;0;0;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180000000;2;67500000;1;67500000;3;0;0;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0
180000000;2;45000000;2;90000000;3;0;3;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
180000000;2;33750000;3;101250000;1;0;3;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0
180000000;3;135000000;0;0;0;0;0;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180000000;3;81000000;1;54000000;3;0;2;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
180000000;3;57857143;2;77142857;2;0;0;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
180000000;3;45000000;3;90000000;0;0;0;0;1;45000000;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0
145500000;0;0;0;0;0;0;0;0;0;0;0;0;1;145500000;0;0;0;0;0;0;0;0;1;0;3;0
145500000;0;0;1;121250000;2;0;3;0;0;0;0;0;1;24250000;0;0;1;0;0;0;0;0;0;0;2;0
145500000;0;0;2;121250000;3;0;0;0;0;0;0;0;1;24250000;0;0;0;0;0;0;0;0;1;0;3;0
145500000;0;0;3;121250000;3;0;0;0;0;0;0;0;1;24250000;0;0;1;0;0;0;0;0;1;0;1;0
145500000;1;109125000;0;0;0;0;0;0;0;0;0;0;1;36375000;0;0;1;0;0;0;0;0;0;0;2;0
145500000;1;40416667;1;80833333;3;0;0;0;0;0;0;0;1;24250000;0;0;0;0;0;0;0;0;0;0;2;0
145500000;1;24250000;2;97000000;3;0;1;0;0;0;0;0;1;24250000;0;0;1;0;0;0;0;0;0;0;3;0
145500000;1;17321429;3;103928571;0;0;1;0;0;0;0;0;1;24250000;0;0;1;0;0;0;0;0;3;0;2;0
145500000;2;116400000;0;0;0;0;0;0;0;0;0;0;1;29100000;0;0;0;0;0;0;0;0;0;0;1;0
145500000;2;60625000;1;60625000;2;0;3;0;0;0;0;0;1;24250000;0;0;0;0;0;0;0;0;3;0;3;0
145500000;2;40416667;2;80833333;2;0;2;0;0;0;0;0;1;24250000;0;0;0;0;0;0;0;0;2;0;2;0
145500000;2;30312500;3;90937500;0;0;3;0;0;0;0;0;1;24250000;0;0;1;0;0;0;0;0;0;0;1;0
145500000;3;116400000;0;0;0;0;0;0;0;0;0;0;1;29100000;0;0;1;0;0;0;0;0;0;0;1;0
145500000;3;72750000;1;48500000;1;0;1;0;0;0;0;0;1;24250000;0;0;1;0;0;0;0;0;0;0;0;0
145500000;3;51964286;2;69285714;0;0;3;0;0;0;0;0;1;24250000;0;0;1;0;0;0;0;0;3;0;1;0
145500000;3;40416667;3;80833333;3;0;0;0;0;0;0;0;1;24250000;0;0;0;0;0;0;0;0;1;0;2;0
434700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;434700000;0;0;0;0;0;0;0;0;0;0
434700000;0;0;1;362250000;2;0;3;0;0;0;0;0;0;0;1;72450000;0;0;0;0;0;0;0;0;2;0
434700000;0;0;2;362250000;0;0;1;0;0;0;0;0;0;0;1;72450000;0;0;0;0;0;0;0;0;0;0
434700000;0;0;3;362250000;2;0;0;0;0;0;0;0;0;0;1;72450000;0;0;1;0;0;0;2;0;3;0
434700000;1;326025000;0;0;0;0;0;0;0;0;0;0;0;0;1;108675000;0;0;0;0;0;0;0;0;0;0
434700000;1;120750000;1;241500000;3;0;2;0;0;0;0;0;0;0;1;72450000;0;0;0;0;0;0;2;0;0;0
434700000;1;72450000;2;289800000;3;0;3;0;0;0;0;0;0;0;1;72450000;0;0;0;0;0;0;1;0;0;0
434700000;1;51750000;3;310500000;2;0;2;0;0;0;0;0;0;0;1;72450000;0;0;1;0;0;0;1;0;1;0
434700000;2;347760000;0;0;0;0;0;0;0;0;0;0;0;0;1;86940000;0;0;0;0;0;0;0;0;0;0
434700000;2;181125000;1;181125000;3;0;0;0;0;0;0;0;0;0;1;72450000;0;0;0;0;0;0;0;0;3;0
434700000;2;120750000;2;241500000;3;0;3;0;0;0;0;0;0;0;1;72450000;0;0;1;0;0;0;0;0;2;0
434700000;2;90562500;3;271687500;1;0;1;0;0;0;0;0;0;0;1;72450000;0;0;1;0;0;0;1;0;3;0
434700000;3;347760000;0;0;0;0;0;0;0;0;0;0;0;0;1;86940000;0;0;0;0;0;0;0;0;0;0
434700000;3;217350000;1;144900000;1;0;2;0;0;0;0;0;0;0;1;72450000;0;0;1;0;0;0;0;0;0;0
434700000;3;155250000;2;207000000;0;0;3;0;0;0;0;0;0;0;1;72450000;0;0;1;0;0;0;0;0;0;0
434700000;3;120750000;3;241500000;1;0;2;0;0;0;0;0;0;0;1;72450000;0;0;0;0;0;0;0;0;0;0
53000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;53000000;0;0;0;0;3;0;3;0
53000000;0;0;1;44166667;2;0;3;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;0;0;2;0
53000000;0;0;2;44166667;0;0;3;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;2;0;1;0
53000000;0;0;3;44166667;1;0;0;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;2;0;0;0
53000000;1;39750000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13250000;0;0;0;0;1;0;2;0
53000000;1;14722222;1;29444444;3;0;0;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;2;0;2;0
53000000;1;8833333;2;35333333;0;0;2;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;1;0;2;0
53000000;1;6309524;3;37857143;3;0;0;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;0;0;0;0
53000000;2;42400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10600000;0;0;0;0;1;0;0;0
53000000;2;22083333;1;22083333;3;0;0;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;1;0;1;0
53000000;2;14722222;2;29444444;3;0;3;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;0;0;1;0
53000000;2;11041667;3;33125000;0;0;0;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;0;0;1;0
53000000;3;42400000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10600000;0;0;0;0;3;0;1;0
53000000;3;26500000;1;17666667;3;0;2;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;0;0;1;0
53000000;3;18928571;2;25238095;3;0;1;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;0;0;1;0
53000000;3;14722222;3;29444444;2;0;1;0;0;0;0;0;0;0;0;0;1;8833333;0;0;0;0;2;0;2;0
114000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;114000000;0;0;0;0;0;0
114000000;0;0;1;95000000;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;2;0;0;0
114000000;0;0;2;95000000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;2;0;0;0
114000000;0;0;3;95000000;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;0;0;1;0
114000000;1;85500000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28500000;0;0;0;0;0;0
114000000;1;31666667;1;63333333;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;1;0;3;0
114000000;1;19000000;2;76000000;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;0;0;0;0
114000000;1;13571429;3;81428571;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;3;0;2;0
114000000;2;91200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22800000;0;0;0;0;0;0
114000000;2;47500000;1;47500000;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;2;0;2;0
114000000;2;31666667;2;63333333;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;0;0;3;0
114000000;2;23750000;3;71250000;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;1;0;3;0
114000000;3;91200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22800000;0;0;0;0;0;0
114000000;3;57000000;1;38000000;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;3;0;2;0
114000000;3;40714286;2;54285714;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;1;0;3;0
114000000;3;31666667;3;63333333;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;19000000;0;0;3;0;1;0
75500000;0;0;0;0;0;0;0;0;0;0;0;0;1;50333333;1;25166667;1;0;1;0;0;0;2;0;3;0
75500000;0;0;1;50333333;3;0;1;0;0;0;0;0;1;12583333;1;12583333;1;0;0;0;0;0;2;0;3;0
75500000;0;0;2;50333333;1;0;1;0;0;0;0;0;1;12583333;1;12583333;1;0;0;0;0;0;2;0;2;0
75500000;0;0;3;50333333;2;0;3;0;0;0;0;0;1;12583333;1;12583333;1;0;0;0;0;0;0;0;2;0
75500000;1;45300000;0;0;0;0;0;0;0;0;0;0;1;15100000;1;15100000;1;0;1;0;0;0;0;0;3;0
75500000;1;16777778;1;33555556;1;0;1;0;0;0;0;0;1;12583333;1;12583333;1;0;1;0;0;0;2;0;0;0
75500000;1;10066667;2;40266667;0;0;1;0;0;0;0;0;1;12583333;1;12583333;0;0;0;0;0;0;3;0;2;0
75500000;1;7190476;3;43142857;1;0;3;0;0;0;0;0;1;12583333;1;12583333;0;0;0;0;0;0;2;0;0;0
75500000;2;50333333;0;0;0;0;0;0;0;0;0;0;1;12583333;1;12583333;0;0;0;0;0;0;1;0;2;0
75500000;2;25166667;1;25166667;0;0;3;0;0;0;0;0;1;12583333;1;12583333;1;0;1;0;0;0;2;0;3;0
75500000;2;16777778;2;33555556;0;0;0;0;0;0;0;0;1;12583333;1;12583333;0;0;1;0;0;0;1;0;2;0
75500000;2;12583333;3;37750000;0;0;1;0;0;0;0;0;1;12583333;1;12583333;1;0;0;0;0;0;3;0;1;0
75500000;3;50333333;0;0;0;0;0;0;0;0;0;0;1;12583333;1;12583333;1;0;0;0;0;0;0;0;1;0
75500000;3;30200000;1;20133333;0;0;3;0;0;0;0;0;1;12583333;1;12583333;1;0;1;0;0;0;0;0;1;0
75500000;3;21571429;2;28761905;2;0;2;0;0;0;0;0;1;12583333;1;12583333;0;0;0;0;0;0;2;0;1;0
75500000;3;16777778;3;33555556;1;0;0;0;0;0;0;0;1;12583333;1;12583333;0;0;1;0;0;0;1;0;2;0
26500000;0;0;0;0;0;0;0;0;1;13250000;0;0;1;13250000;0;0;1;0;0;0;0;0;1;0;1;0
26500000;0;0;1;15458333;3;0;3;0;1;6625000;0;0;1;4416667;0;0;0;0;0;0;0;0;0;0;1;0
26500000;0;0;2;15458333;3;0;1;0;1;6625000;0;0;1;4416667;0;0;0;0;0;0;0;0;1;0;2;0
26500000;0;0;3;15458333;3;0;2;0;1;6625000;0;0;1;4416667;0;0;0;0;0;0;0;0;0;0;2;0
26500000;1;14906250;0;0;0;0;0;0;1;6625000;0;0;1;4968750;0;0;1;0;0;0;0;0;2;0;3;0
26500000;1;5152778;1;10305556;1;0;2;0;1;6625000;0;0;1;4416667;0;0;0;0;0;0;0;0;2;0;0;0
26500000;1;3091667;2;12366667;2;0;3;0;1;6625000;0;0;1;4416667;0;0;0;0;0;0;0;0;3;0;0;0
26500000;1;2208333;3;13250000;2;0;1;0;1;6625000;0;0;1;4416667;0;0;1;0;0;0;0;0;0;0;1;0
26500000;2;16307692;0;0;0;0;0;0;1;6115384;0;0;1;4076924;0;0;0;0;0;0;0;0;3;0;3;0
26500000;2;7729167;1;7729167;0;0;1;0;1;6625000;0;0;1;4416667;0;0;1;0;0;0;0;0;0;0;0;0
26500000;2;5152778;2;10305556;0;0;0;0;1;6625000;0;0;1;4416667;0;0;0;0;0;0;0;0;3;0;2;0
26500000;2;3864583;3;11593750;2;0;0;0;1;6625000;0;0;1;4416667;0;0;1;0;0;0;0;0;0;0;0;0
26500000;3;16307692;0;0;0;0;0;0;1;6115384;0;0;1;4076924;0;0;1;0;0;0;0;0;3;0;0;0
26500000;3;9275000;1;6183333;3;0;2;0;1;6625000;0;0;1;4416667;0;0;1;0;0;0;0;0;1;0;2;0
26500000;3;6625000;2;8833333;0;0;0;0;1;6625000;0;0;1;4416667;0;0;0;0;0;0;0;0;1;0;0;0
26500000;3;5152778;3;10305556;2;0;3;0;1;6625000;0;0;1;4416667;0;0;1;0;0;0;0;0;0;0;3;0
16120000;0;0;0;0;0;0;0;0;1;8060000;0;0;0;0;1;8060000;0;0;0;0;0;0;0;0;0;0
16120000;0;0;1;9403333;3;0;3;0;1;4030000;0;0;0;0;1;2686667;0;0;0;0;0;0;3;0;2;0
16120000;0;0;2;9403333;3;0;0;0;1;4030000;0;0;0;0;1;2686667;0;0;0;0;0;0;3;0;0;0
16120000;0;0;3;9403333;3;0;0;0;1;4030000;0;0;0;0;1;2686667;0;0;1;0;0;0;0;0;3;0
16120000;1;90675000;0;0;0;0;0;0;1;4030000;0;0;0;0;1;30225000;0;0;0;0;0;0;0;0;0;0
16120000;1;3134444;1;6268889;1;0;3;0;1;4030000;0;0;0;0;1;2686667;0;0;1;0;0;0;3;0;1;0
16120000;1;1880667;2;7522667;3;0;1;0;1;4030000;0;0;0;0;1;2686667;0;0;1;0;0;0;1;0;1;0
16120000;1;1343333;3;8060000;2;0;3;0;1;4030000;0;0;0;0;1;2686667;0;0;0;0;0;0;1;0;1;0
16120000;2;99200000;0;0;0;0;0;0;1;37200000;0;0;0;0;1;24800000;0;0;0;0;0;0;0;0;0;0
16120000;2;4701667;1;4701667;0;0;1;0;1;4030000;0;0;0;0;1;2686667;0;0;1;0;0;0;3;0;3;0
16120000;2;3134444;2;6268889;1;0;0;0;1;4030000;0;0;0;0;1;2686667;0;0;1;0;0;0;3;0;3;0
16120000;2;2350833;3;7052500;1;0;0;0;1;4030000;0;0;0;0;1;2686667;0;0;1;0;0;0;1;0;2;0
16120000;3;99200000;0;0;0;0;0;0;1;37200000;0;0;0;0;1;24800000;0;0;0;0;0;0;0;0;0;0
16120000;3;5642000;1;3761333;2;0;0;0;1;4030000;0;0;0;0;1;2686667;0;0;1;0;0;0;2;0;3;0
16120000;3;4030000;2;5373333;1;0;2;0;1;4030000;0;0;0;0;1;2686667;0;0;1;0;0;0;1;0;3;0
16120000;3;3134444;3;6268889;2;0;1;0;1;4030000;0;0;0;0;1;2686667;0;0;0;0;0;0;2;0;0;0
103000000;0;0;0;0;0;0;0;0;1;51500000;0;0;0;0;0;0;1;51500000;0;0;0;0;0;0;2;0
103000000;0;0;1;60083333;0;0;3;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;2;0;2;0
103000000;0;0;2;60083333;3;0;0;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;1;0;0;0
103000000;0;0;3;60083333;1;0;1;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;1;0;2;0
103000000;1;57937500;0;0;0;0;0;0;1;25750000;0;0;0;0;0;0;1;19312500;0;0;0;0;2;0;3;0
103000000;1;20027778;1;40055556;0;0;0;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;1;0;0;0
103000000;1;12016667;2;48066667;0;0;3;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;0;0;0;0
103000000;1;8583333;3;51500000;1;0;2;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;1;0;1;0
103000000;2;63384615;0;0;0;0;0;0;1;23769230;0;0;0;0;0;0;1;15846155;0;0;0;0;0;0;2;0
103000000;2;30041667;1;30041667;2;0;3;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;3;0;2;0
103000000;2;20027778;2;40055556;3;0;1;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;3;0;0;0
103000000;2;15020833;3;45062500;0;0;1;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;0;0;1;0
103000000;3;63384615;0;0;0;0;0;0;1;23769230;0;0;0;0;0;0;1;15846155;0;0;0;0;1;0;0;0
103000000;3;36050000;1;24033333;3;0;3;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;0;0;0;0
103000000;3;25750000;2;34333333;2;0;1;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;2;0;2;0
103000000;3;20027778;3;40055556;3;0;3;0;1;25750000;0;0;0;0;0;0;1;17166667;0;0;0;0;2;0;0;0
73000000;0;0;0;0;0;0;0;0;1;36500000;0;0;0;0;0;0;0;0;1;36500000;0;0;0;0;0;0
73000000;0;0;1;42583333;2;0;2;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;0;0;0;0
73000000;0;0;2;42583333;1;0;2;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;2;0;0;0
73000000;0;0;3;42583333;3;0;0;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;0;0;3;0
73000000;1;41062500;0;0;0;0;0;0;1;18250000;0;0;0;0;0;0;0;0;1;13687500;0;0;0;0;0;0
73000000;1;14194444;1;28388889;2;0;1;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;3;0;1;0
73000000;1;8516667;2;34066667;3;0;2;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;1;0;0;0
73000000;1;6083333;3;36500000;3;0;1;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;3;0;0;0
73000000;2;44923076;0;0;0;0;0;0;1;16846153;0;0;0;0;0;0;0;0;1;11230769;0;0;0;0;0;0
73000000;2;21291667;1;21291667;1;0;1;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;3;0;2;0
73000000;2;14194444;2;28388889;1;0;0;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;2;0;1;0
73000000;2;10645833;3;31937500;3;0;2;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;0;0;1;0
73000000;3;44923076;0;0;0;0;0;0;1;16846153;0;0;0;0;0;0;0;0;1;11230769;0;0;0;0;0;0
73000000;3;25550000;1;17033333;3;0;2;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;3;0;1;0
73000000;3;18250000;2;24333333;2;0;3;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;1;0;3;0
73000000;3;14194444;3;28388889;0;0;2;0;1;18250000;0;0;0;0;0;0;0;0;1;12166667;0;0;3;0;3;0
211000000;0;0;0;0;0;0;0;0;0;0;1;52750000;0;0;1;158250000;0;0;1;0;0;0;0;0;0;0
211000000;0;0;1;149458333;3;0;2;0;0;0;1;26375000;0;0;1;35166667;0;0;0;0;0;0;3;0;3;0
211000000;0;0;2;149458333;3;0;1;0;0;0;1;26375000;0;0;1;35166667;0;0;1;0;0;0;2;0;1;0
211000000;0;0;3;149458333;2;0;3;0;0;0;1;26375000;0;0;1;35166667;0;0;1;0;0;0;1;0;0;0
211000000;1;138468750;0;0;0;0;0;0;0;0;1;26375000;0;0;1;46156250;0;0;0;0;0;0;0;0;0;0
211000000;1;49819444;1;99638889;3;0;1;0;0;0;1;26375000;0;0;1;35166667;0;0;0;0;0;0;2;0;1;0
211000000;1;29891667;2;119566667;0;0;0;0;0;0;1;26375000;0;0;1;35166667;0;0;0;0;0;0;0;0;3;0
211000000;1;21351190;3;128107143;3;0;3;0;0;0;1;26375000;0;0;1;35166667;0;0;0;0;0;0;2;0;1;0
211000000;2;147700000;0;0;0;0;0;0;0;0;1;26375000;0;0;1;36925000;0;0;0;0;0;0;0;0;0;0
211000000;2;74729167;1;74729167;2;0;1;0;0;0;1;26375000;0;0;1;35166667;0;0;0;0;0;0;3;0;3;0
211000000;2;49819444;2;99638889;2;0;0;0;0;0;1;26375000;0;0;1;35166667;0;0;0;0;0;0;0;0;1;0
211000000;2;37364583;3;112093750;1;0;2;0;0;0;1;26375000;0;0;1;35166667;0;0;1;0;0;0;2;0;1;0
211000000;3;147700000;0;0;0;0;0;0;0;0;1;26375000;0;0;1;36925000;0;0;0;0;0;0;0;0;0;0
211000000;3;89675000;1;59783333;0;0;1;0;0;0;1;26375000;0;0;1;35166667;0;0;0;0;0;0;0;0;3;0
211000000;3;64053571;2;85404762;0;0;2;0;0;0;1;26375000;0;0;1;35166667;0;0;1;0;0;0;0;0;0;0
211000000;3;49819444;3;99638889;3;0;2;0;0;0;1;26375000;0;0;1;35166667;0;0;0;0;0;0;2;0;3;0
517000000;0;0;0;0;0;0;0;0;0;0;1;129250000;1;387750000;0;0;1;0;0;0;0;0;1;0;0;0
517000000;0;0;1;366208333;3;0;1;0;0;0;1;64625000;1;86166667;0;0;1;0;0;0;0;0;0;0;0;0
517000000;0;0;2;366208333;3;0;3;0;0;0;1;64625000;1;86166667;0;0;1;0;0;0;0;0;0;0;3;0
517000000;0;0;3;366208333;1;0;1;0;0;0;1;64625000;1;86166667;0;0;1;0;0;0;0;0;0;0;2;0
517000000;1;339281250;0;0;0;0;0;0;0;0;1;64625000;1;113093750;0;0;1;0;0;0;0;0;2;0;2;0
517000000;1;122069444;1;244138889;2;0;1;0;0;0;1;64625000;1;86166667;0;0;1;0;0;0;0;0;3;0;2;0
517000000;1;73241667;2;292966667;2;0;2;0;0;0;1;64625000;1;86166667;0;0;0;0;0;0;0;0;1;0;3;0
517000000;1;52315476;3;313892857;3;0;3;0;0;0;1;64625000;1;86166667;0;0;0;0;0;0;0;0;0;0;1;0
517000000;2;361900000;0;0;0;0;0;0;0;0;1;64625000;1;90475000;0;0;1;0;0;0;0;0;3;0;2;0
517000000;2;183104167;1;183104167;0;0;3;0;0;0;1;64625000;1;86166667;0;0;1;0;0;0;0;0;1;0;3;0
517000000;2;122069444;2;244138889;3;0;3;0;0;0;1;64625000;1;86166667;0;0;0;0;0;0;0;0;2;0;3;0
517000000;2;91552083;3;274656250;2;0;3;0;0;0;1;64625000;1;86166667;0;0;0;0;0;0;0;0;1;0;0;0
517000000;3;361900000;0;0;0;0;0;0;0;0;1;64625000;1;90475000;0;0;0;0;0;0;0;0;0;0;1;0
